,Rating,Comments,overall,negative,neutral,positive,compound
29,★★½,Doesn't really feel like a Christopher Nolan film and not in a good way. Feels like a movie you would passively watch on cable and feels twice as long as it actually is.,2,0.252,0.748,0.0,-0.7742
30,★★★,the whole way through i couldn't stop thinking about the scenery,3,0.0,0.827,0.173,0.2235
31,★★★,"A well crafted psychological detective thriller, which is a remake of a Norwegian movie of the same name. The performances of Al Pacino, Robin Williams and their scenes with each other, is the major highlight of the movie. Set in Alaska, the locations are visually pleasing and amplified even more with its beautiful cinematography. Though the psychological aspect is brilliantly handled, the narrative tension never hits the high it promises. Watch it for its brilliant execution and performances.",3,0.025,0.716,0.259,0.9664
32,★★★★,A brilliantly crafted movie and a riveting watch.,4,0.0,0.556,0.444,0.6124
33,★★★½,"Christopher Nolan made the world believe that a Batman could exist, but he will never convince anybody that Al Pacino has real hair.",3,0.091,0.909,0.0,-0.2755
34,★★★½,Can you get on the phone and call Pacino immediately for your next venture? Can't believe this was Michael Corleone's last great performance and easily the best thing about it along with the cinematography of Wally Pfister.Robin Williams is okay but i expected more! Having said that i still prefer the original version for unexplainable reasons.,3,0.0,0.809,0.191,0.8605
35,★★★★,The film's strongest feature is the heated interplay between Al Pacino and Robin Williams.,4,0.0,0.818,0.182,0.4404
36,★★★★,"Damn, what a great film. Like just honest to god what a great film. I love the dimensions they truly dive into with all the characters",4,0.066,0.367,0.567,0.9661
37,★★★★,"Al Pacino comes out swinging with a variation on his usual character, a flawed yet layered cop from LA with a vaguely southern accent and a sleeping problem. A game of Cat and Cat with Robin Williams makes this crime thriller tremendously watchable. Also directed by Chris Nolan so you know it's going look perfect.",4,0.118,0.794,0.088,-0.4069
38,★★★★,www.youtube.com/watch?v=BR621wTW_Ow,4,0.0,1.0,0.0,0.0
39,★★★★½,"Insomnia is an intelligent, incredibly well-acted, and enthralling crime thriller featuring a truly chilling turn by the late great Robin Williams, beautiful cinematography, and excellent direction from Christopher Nolan.",4,0.106,0.459,0.436,0.9371
40,★★★★,"I just love Christopher Nolan's movies, he is very good!",4,0.0,0.477,0.523,0.8264
41,★★★½,"al pacino already looks tired, imagine if he had insomnia.",3,0.244,0.756,0.0,-0.4404
42,★★★½,Ranking: Coronavirus Quarantine,3,0.0,1.0,0.0,0.0
43,★★★★½,"First time seeing this in years and what a travesty it's never been released on Blu-ray in the UK so I had to import. Some of the finest work of Al Pacino and Robin Williams career. Pacino plays the morally ambiguous cop whose mental and physical state are slipping very well, while Williams does the chilling serial killer to extremely disturbing effect. The location makes for an interesting change of scenery to these sorts of films, every is overly bright and gives it a unique atmosphere. One of Christopher Nolan's most underrated pieces of work in his rich filmography.",4,0.112,0.768,0.12,-0.0258
44,★★★½,robin williams was secretly the most versatile actor huh,3,0.0,1.0,0.0,0.0
45,★★★½,al pacino & robin williams are treat to watch in this.,3,0.0,0.769,0.231,0.4019
46,★★★★,But what the fuck?,4,0.538,0.462,0.0,-0.5423
47,★★★★,Watched on HBOMax.,4,0.0,1.0,0.0,0.0
48,★★★★,Nolan doing Twin Peaks. Amazing soundtrack.,4,0.0,0.568,0.432,0.5859
49,★★½,LOL they played real life FROGGER,2,0.0,0.403,0.597,0.7125
50,★★★★,"Elevated by excellent performances from both Al Pacino (who isn't really trying here but continues to amaze) and Robin Williams in this dark tale revolving around an intense character study. Insomnia keeps its viewers wide awake with the psychological chills it utilizes to a compelling extent of compromises and grisly backdrops, as all other surrounding qualities serve as solid in this examined crime thriller that is invested within the inventive conscience.",4,0.061,0.816,0.123,0.2263
51,★★½,put me to sleep three different times,2,0.0,1.0,0.0,0.0
52,★★★★,"so while i did enjoy it, i also wish it had been just a little bit more nolan.",4,0.0,0.678,0.322,0.7322
53,★★★½,"Cops are dirty. But they have really good reasons, I promise.",3,0.185,0.447,0.368,0.4323
54,★★★★,being real.,4,0.0,1.0,0.0,0.0
55,★★★★,76/100,4,0.0,1.0,0.0,0.0
56,★★,ironic because this film cured my insomnia!!!,2,0.284,0.716,0.0,-0.3348
57,★★★½,Great movie!,3,0.0,0.185,0.815,0.6588
58,★★★,One of the rare instances where a film is considered to be underrated for all three of the main stars and the director also.,3,0.0,1.0,0.0,0.0
59,★★★★,"is a fantastically acted thriller, and there are some incredible moments, but I can't say it's one of my favorites. Maybe it's my fault for only sleeping 4 hours before watching this, but I found it a bit difficult to focus on it, especially at the beginning. It does pick up considerably, when Robin Williams is introduced, and it gets really exciting in the second half. It's great, but it's sadly one of my least favorite Nolan movies. I'll definitely rewatch it in a few months, though. 8/10",4,0.13,0.692,0.178,0.7286
60,★★,"Whoever was demanding that Nolan direct the next Bond film must really fancy a bloated, cold, sexless Bond film.",2,0.101,0.899,0.0,-0.2263
61,★★★★,do you actually thinks this deserves a 3.5 rating or do you need to grow up??,4,0.0,1.0,0.0,0.0
62,★★★½,The first 20 minutes of this had a very strong resemblance to the Twin Peaks pilot (one day I will finish that show) which was an unfortunate point for me to come to because I spent the rest of the runtime wondering what David Lynch's Inception would look like.,3,0.058,0.825,0.117,0.4754
63,★★★★,Nolan Flicks Ranked,4,0.0,1.0,0.0,0.0
64,★★★,Nothing special. Fairly generic but finely made thriller. The three leads make it very watchable.,3,0.1,0.801,0.099,-0.0075
65,★★★★★,Christoper Nolan's magnum opus.,5,0.0,1.0,0.0,0.0
66,★★★★,"Maybe not my favorite Nolan but it's still really great. He manages to explore a lot of different themes in this movie like guilt, problems with integrity of law... It's maybe his most straightforward movie but he adds a certain mood with his detective with insomnia which works really well. Al Pacino and Robin Williams are the weirdest duo ever but their talent is unmatched, Pacino really looked tired. I wondered what if DDL got that role, he wouldn't sleep for months and would probably kill someone...",4,0.195,0.613,0.192,0.1584
67,★★★½,nolan ranked,3,0.0,1.0,0.0,0.0
68,★★★,"this movie gets better, his performance is outstanding and his scenes are really good - the rest of the film is also pretty good, but I didn't love or like it THAT much, sadly.",3,0.239,0.526,0.235,-0.4895
69,★★★★½,"Thanks to the great performances from Al Pacino and Robin Williams, the beautiful cinematography and some absolutely thrilling sequences, Insomnia is a tense, suspenseful and completely unpredictable film with great direction from Christopher Nolan and a chilling atmosphere.",4,0.069,0.57,0.361,0.9509
70,★★★★,"A cold and stark thriller that, for me, never gets old. I like it just as much now as I did when I was 14 and first saw it. Robin Williams is mesmerising.",4,0.069,0.885,0.046,-0.1803
71,★★★★½,I'm sleepy. Night night.,4,0.0,1.0,0.0,0.0
72,★★★,"As for the film, I loved the vibes, but you can never feel the weight of the crime that propels the narrative, and we so easily lose sight of the female victim.",3,0.258,0.591,0.151,-0.695
73,★★★★,"Nothing particularly special, but a great thriller nonetheless. I was locked in the entire time. Pacino crushes it here.",4,0.213,0.496,0.291,0.4693
74,★★★★½,This guy crossed the line and didn't even blink.,4,0.0,1.0,0.0,0.0
75,★★★½,A credible remake. But right now I'd say I still prefer the Norwegian Insomnia with Stellan Skarsgard.,3,0.0,1.0,0.0,0.0
76,★★★½,"Lo de haber matado a gente es broma, eh. La peli me ha dado un buen rato. Recordaba que duraba tres horas y no llega a dos.",3,0.083,0.827,0.09,0.0516
77,★★,i haven't watched a nolan film for the first time since 2017 and since then this has been the only one i hadn't seen. so yay! finished a filmography! (TENET comes out next week here so until then anyway.) this didn't really do much for me. it's a normie movie about dirty cops and the setting is the most interesting thing about it because parts of the world where the sun never sets for part of the year inherently intrigue me. love to see al pacino SPRINT though! but yeah acab including hilary swank,2,0.02,0.867,0.113,0.8404
78,★★★★½,86/100,4,0.0,1.0,0.0,0.0
79,★★★★,"A taught compelling thriller that shows Christopher Nolan can knock it out of the park, even with someone else's script.",4,0.0,0.837,0.163,0.3182
80,★★★½,"Christopher Nolan, please go back to making R rated thrillers",3,0.0,0.673,0.327,0.34
81,★★★★½,"The only real issue with this film was that editing. Other than that, I was pretty much engaged with what Christopher Nolan did here.",4,0.0,0.781,0.219,0.7096
82,★★★★,"Between a gay cowboy as The Joker, a serial killer as Batman, and Mrs. Doubtfire as a murderer, it is impossible to judge Christopher Nolan's casting decisions. If Noah Centineo is the lead in his next movie, you bet your ass that it is the right choice.",4,0.23,0.742,0.028,-0.9169
83,★★★,", but this is easily his worst film. That being said, it does offer an intriguing narrative, a small amount of Nolan flair, and an excellent atypical performance from Robin Williams. The oppresive tone is well constructed, and I really felt the protagonist's exhaustion throughout the film. I just wish that that tiredness and insomnia actually added more to the central plot and themes.",3,0.115,0.699,0.186,0.6652
84,★★★½,"plays a villain, and he fucking nails it.",3,0.34,0.472,0.189,-0.3818
85,★★★½,"I am now officially a Christopher Nolan completionist. The contrarian part of myself wanted to walk off declaring his best movie, but in truth, it's just okay. It does raise my belief that Nolan is a far better director than a writer though, he brings a certain professionalism and competency behind the camera to this thriller that raises it a cut above. He should make more movies set in the pacific northwest, a region with a naturally cold and foggy atmosphere suits him well, I feel as if this is by far his best looking movie.",3,0.025,0.741,0.234,0.968
86,★★★★,"One of Christopher Nolan's worst movies, and it still is really good. Nolan is definitely one of my favorite directors. Insomnia is a well-crafted thriller filled with great characters and a good story. The acting is superb. Pacino is really good as the sleep deprived detective, and Robin Williams is pretty good too. It is a bit slow at times, and it has some plot holes (How did nobody find the bullet, but when Hilary Swank searched for it, she found it immediately?) That aside, Insomnia is a really good movie with amazing cinematography. Alaska is beautiful.",4,0.039,0.661,0.3,0.9815
87,★★★½,Did anyone else see Pacino kiss the pole at 1:12:40 because wtf,3,0.229,0.602,0.169,-0.25
88,★★★★,p.s. This guy just wanted to have some sleep and to have some weird-ass dreams within dreams whithin another dreams(((((,4,0.0,0.769,0.231,0.6597
89,★★★★,Christopher Fincher,4,0.0,1.0,0.0,0.0
90,★★★,"Easily one of Nolan's weakest movies, but I still found it enjoyable. I found the story very compelling, the acting was very good, the score very well composed, and the direction and cinematography were both very appropriate. In my opinion, Robin William's existence in this movie was a bit distracting and was a little hard to take seriously. The quality of this movie suffers from several bad editing choices and a few too many goofy lines in the screenplay (""You're just a little prick in a leather jacket!""). Not an amazing movie, but overall pretty solid and very watchable - 6/10.",3,0.194,0.629,0.177,-0.2965
91,★★½,al pacino looks tired in everything so he was perfect for this role,2,0.162,0.616,0.222,0.2648
92,★★★½,I miss poor Robin Williams,3,0.701,0.299,0.0,-0.5719
93,★★★,And the Oscar for most tired looking goes to Al Pacino.,3,0.242,0.758,0.0,-0.4927
94,★★★★★,An excellent crime drama.,5,0.38,0.217,0.402,0.0516
95,★★★★½,RIP Robin Williams.,4,0.0,1.0,0.0,0.0
96,★★★,Forgot to log this,3,0.0,1.0,0.0,0.0
97,★★★,59/100,3,0.0,1.0,0.0,0.0
98,★★★★,"isn't good, I had a good time with it. It's always fun to think about the possibilities tho",4,0.228,0.616,0.156,-0.1311
99,★★★★,"Unpredictable and unconventional in all the best ways possible. Al Pacino, Hillary Swank and Robin Williams are at the top of their game here while Christopher Nolan gives us yet another severely overlooked yet remarkably crafted and suspenseful gem.",4,0.091,0.776,0.133,0.4404
100,★★★★,More people need to see this underrated Nolan film.,4,0.0,1.0,0.0,0.0
101,★★★,"Other than Robin Williams' portrayal of Walter Finch which is actually pretty genius casting, this is solely a competently made crime thriller. Nolan at his bare minimum.",3,0.113,0.74,0.148,0.0258
102,★★★,Christopher Nolan Ranked,3,0.0,1.0,0.0,0.0
103,★★★★,Let me sleep ... just let me sleep,4,0.0,1.0,0.0,0.0
104,★★★★,"is probably the most conventional film in Christopher Nolan's filmography, seeing as it's a remake, and yet it's still one of his most compelling. Marking his first foray into big budget filmmaking, Nolan expertly crafts a sharply cold and calculated film, that's bolstered by some late career best performances from a somnolent Al Pacino and a rather creepy Robin Williams.",4,0.0,0.894,0.106,0.7501
105,★★,"'s only compelling aspect is its lead performances by pacino and williams. otherwise, it is a dull, overlong ""thriller"" devoid of thrills. i shouldn't have bothered with this one.",2,0.084,0.717,0.198,0.3944
106,★★★★,"Obviously this movie is overshadowed by every other film in Christopher Nolan's filmography. But this is an excellent cat and mouse thriller that keeps you on the edge of your seat. Nolan gets excellent performances from Al Pacino and Hilary Swank. But the most impressive comes from Robin Williams playing against type. He is amazing in this. I still haven't seen the original Norwegian version of this, which I have heard is superior. But this one is really underrated. I hope Nolan goes back to making gritty R-rated films like this and Memento one day. I doubt that will happen though.",4,0.038,0.731,0.231,0.9709
107,★★★★,"Widely considered Christopher Nolan's weakest film, I believe it is severely underrated and flawless. The film is tense and taut. Somehow makes you feel as if you were suffering from insomnia just like Al Pacino's character. Al Pacino, Robin Williams and Hilary Swank are all excellent in this.",4,0.192,0.653,0.155,-0.3182
108,★★★,"Insomnia is a solid thriller, but there's not much more to it. Pacino leads the film well and Williams delivers a fantastic supporting performance that makes the entire film worth watching. Nolan directs as well as he usually does, and the script is compelling enough. That's its central issue though; it's just ""enough."" It really doesn't stick out from the crowd, and at points, the glacial pacing gets to be a tad annoying. Insomnia is a worthy beginning to Nolan's studio filmmaking, but, with the exception of Williams' performance, is mostly forgettable and sadly close to be a cure for its titular affliction.",3,0.061,0.729,0.21,0.9418
109,★★★½,"A taut and morally twisted mystery thriller with all the signature stamps of Nolan, Insomnia is a strong lead poison. A poison that grows upon you with multiple inhales.",3,0.208,0.653,0.139,-0.5106
110,★★★★½,"I'm a massive Christopher Nolan fan having seen all his movies bar Following as of typing this and Insomnia is probably the closest to a police procedural on CBS (where his bother, Jonathan Nolan is doing the excellent Person of Interest)/NBC that he's done - because essentially it is one, only with Al Pacino and Robin WIlliams, who put in some fantastic acting here. The cinematography is excellent and the atmosphere is superb, with some great, haunting visuals and an excellent setting. Hillary Swank is able to hold her own against Pacino and Williams as well, with the excellent cast really helping this movie shine.",4,0.035,0.703,0.262,0.9834
111,★★★½,"This is either one of the best 3.5 star films, or one of the worst 4 star films. This was a very unique and interesting type of Crime/Drama film. Al Pacino and Robin Williams were excellent. Although this is Nolan's worst film so far, it's still very good.",3,0.132,0.643,0.226,0.7056
112,★★★★,"While it is Nolan's weakest, it still pulls out some great performances from Williams and Pacino. It has a more of straight forward plot than his other work but Nolan makes it a lot more effective than other thrillers out there. The gloomy lonely cinematography is prominently shown to a great effect in actually making you slightly tired.",4,0.148,0.637,0.215,0.7021
113,★★★½,Slow burn but very rewarding as it progresses. This is definitely gonna grow on me the more times I watch it.,3,0.0,0.677,0.323,0.8621
114,★★★,david fincher but boring,3,0.496,0.504,0.0,-0.4497
115,★★★★½,The ending was good.,4,0.0,0.508,0.492,0.4404
116,★★★½,Nolan is a strong director and this is a great effort from him. It's the story that brings this one down because it doesn't feel super tight. But the performances of Pacino and Williams are fantastic.,3,0.071,0.68,0.249,0.834
117,★★★½,everyone say thank you christopher nolan for giving us al pacino and robin williams together in a movie,3,0.0,0.754,0.246,0.5994
118,★★½,. If anything it made me less hyped.,2,0.0,1.0,0.0,0.0
119,★★★½,3.5/5,3,0.0,1.0,0.0,0.0
120,★★★½,detective dunkaccino is on the case,3,0.0,1.0,0.0,0.0
121,★★★½,Obviously it's a Nolan picture because the characters act in the name of justice.,3,0.0,0.779,0.221,0.5267
122,★★★,must a movie be good? is al pacino verbally abusing high school kids in dumpsters until they cry not enough??,3,0.326,0.565,0.109,-0.6946
123,★★★,"This remains a pretty bollocks film, like every Nolan I've seen...",3,0.0,0.584,0.416,0.6908
124,★★★★,8/10,4,0.0,1.0,0.0,0.0
125,★★★,One thing I stayed for is the evolution of the window covering- it becomes less organized and more and more desperate with each night. And I love unhinged protagonists.,3,0.089,0.78,0.131,0.3277
126,★★½,"I know I can pick up some enemies around here by my opinion, but again I came across a Nolan movie that made me sleepy.",2,0.095,0.905,0.0,-0.2732
127,★★★½,You should check out the Calm app it has Cillian Murphy,3,0.0,0.813,0.187,0.3182
128,★★★½,", I really do, but making a film without a giant plot hole just isn't an option for him, is it?",3,0.0,1.0,0.0,0.0
129,★★★½,i'd have sworn to you that david fincher directed this,3,0.0,1.0,0.0,0.0
130,★,get worse.,1,0.756,0.244,0.0,-0.4767
131,★★★★★,This movie is just another proof that Nolan should be swimming in Oscars like Scrooge McDuck in money. One of a kind filmmaker.,5,0.0,0.772,0.228,0.7096
132,★★★★,Robin Williams as a bad guy was not something I was expecting.,4,0.28,0.72,0.0,-0.5423
133,★★★½,"It might not have felt so at the time, but formally this is pure Nolan, particularly the investment in cross-cutting and the frenetic flash frame construction of some of the action. Pacino's in good form here, particularly in terms of selling the physicality of Dormer's extreme exhaustion. Solid movie.",3,0.059,0.836,0.105,0.3612
134,★★★½,"Went into this not expecting much, but I was pleasantly surprised by it. Great plot, great performances, and very good editing. The only thing that keeps it from being great to me is the weak third act because it felt like they didn't know what to do. I was hoping for something psychological, but it instead was a basic shootout. Definitely worth a watch and better than most people say.",3,0.038,0.528,0.434,0.9921
135,★★★½,Gets a bit convoluted but somehow remains a fairly tight thriller. The last good performance Pacino has put on film? Hopefully the next Scorsese will remedy that.,3,0.0,0.71,0.29,0.8402
136,★★★½,"is a well acted, beautifully shot film that exudes a dark, brooding atmosphere. Robin Williams was surprisingly fantastic as the deranged villain, and Pacino was excellent as well (as he usually is). Nolan's direction was mostly solid, though this is certainly one of his weaker films.",3,0.105,0.532,0.363,0.9186
137,★★★★½,"Have not seen this since it was originally in the theaters and I like it now even more. Best part about it is how Pacino & William's characters keep one-upping each other trying to get dominant control of the situation. The acting, cinematography, and score are superb.",4,0.0,0.791,0.209,0.902
138,★★★★,Amazing. I'm glad the real account of catching Alaskan murderer Dimitri Keogh has finally been documented on film.,4,0.174,0.568,0.258,0.296
139,★★★½,(I know Jonathan Nolan is from Chicago. The joke works better if he has a British accent. Fuck you.),3,0.148,0.636,0.216,0.1531
140,★★★★★,"Believe it or not, people refer to this as Nolan's worst film. That's honestly horseshit. If you haven't seen this because of those rumors, or for any reason, do yourself a favor and watch this underrated masterpiece.",5,0.089,0.697,0.214,0.6908
141,★★★,6.3/10,3,0.0,1.0,0.0,0.0
142,★★★½,"I avoided this one for a long time because I thought it was an adaptation to the Stephen King novel of the same title. (Wasn't a fan of that book, if you couldn't guess.) This was actually very enjoyable. Robin Williams knocks his role out of the park, and Pacino isn't bad either. I wish Williams and Pacino had been on screen together more, though.",3,0.096,0.783,0.121,0.4065
143,★★★★,"when someone knows everything about the other, is it a must to say ""ugh, you did your homework""?",4,0.0,1.0,0.0,0.0
144,★★★★½,Eye bags on fleek,4,0.0,1.0,0.0,0.0
145,★★★★,Al Pacino has one of the best sleepy expressions ever in this.,4,0.0,0.724,0.276,0.6369
146,★★★½,Christopher Nolan Films Ranked,3,0.0,1.0,0.0,0.0
147,★★★★,#RW,4,0.0,1.0,0.0,0.0
148,★★★★½,"It looks stunning and the story is excellent, I really enjoyed this.",4,0.0,0.447,0.553,0.8718
149,★★★½,"Good but not my favourite Nolan by a long shot. I think you could have even justified another 10-15 to give Swank a bit more of a role than she had but Pacino and Williams have good chemistry, surprising not so cerebral from Nolan (well nothing is compared to memento really) but still an interesting piece.",3,0.0,0.751,0.249,0.9387
150,★★★,"This doesn't feel like any other Nolan movie. It's hard to tell if he had the choice of the cast, score, or source material. Al Pacino does play wonked out insomniac well, even if the character of ""Al Pacino, actor"" hangs too heavy on the movie. The story plays out well enough, but it doesn't cut like every other Nolan movie does. This feels like a Kubrick to Spartacus movie, a studio project where the director is an afterthought to the point their voice is taken out of the movie. That might not have been the case, I don't know, but that's how it certainly seems.",3,0.072,0.825,0.103,0.3687
151,★★★½,fatpie42.livejournal.com/266588.html,3,0.0,1.0,0.0,0.0
152,★★★★,"The story was different enough to be interesting but nothing super original or exciting. Still, it wasn't boring and it is worth a watch, especially if you want to see Williams in an unusual role.",4,0.143,0.581,0.275,0.6281
153,★★★,"was enjoyable enough, however I was expecting more from this particular director who a vast majority of people adore so much. I thought the plot could have been stronger, it wasn't particularly suspenseful at any point and perhaps the screenplay was a little lazy. Liked the performances, but quite possibly a film I'll forget about by tomorrow.",3,0.068,0.796,0.135,0.4324
154,★★★½,"Not Nolan's best but still a good not great psychological drama. Al Pacino gives a great performance as the L.A.P.D legendary cop with mental issues of guilt with Insomnia. Hilary Swank is great as the rookie Alaska detective. Robin Williams who doesn't appear on-screen until an hour into the film, he's excellent. Insomnia starts off very slow first 30 minutes which is the reason why I didn't give this a higher rating but once it's settles in the last hour & 20 minutes of the film, it's good.",3,0.171,0.708,0.12,-0.6605
155,★★★★,"Holy, Robin Williams had range! What a sad loss.",4,0.487,0.513,0.0,-0.69
156,★★★½,Al Pacino really sucks at frogger,3,0.358,0.642,0.0,-0.4201
157,★★★½,The level of exhaustion Al Pacino wears on his face here....honestly goals,3,0.185,0.815,0.0,-0.3612
158,★★★★★,No one is innocent,5,0.333,0.303,0.364,0.0516
159,★★★★,Director Christopher Nolan's post-Memento paycheck gig - and least distinctive film - outshines the Norweigan original thanks to taut writing by Hillary Seitz and underrated performances from Al Pacino and Robin Williams.,4,0.0,0.843,0.157,0.6369
160,★★★★,solid. good one chris.,4,0.0,0.308,0.692,0.5423
161,★★★½,he has become that fucking owl.,3,0.0,1.0,0.0,0.0
162,★★★,"not my favorite thing Christopher Nolan has ever done but it makes for an entertaining mystery thriller, especially because of Al Pacino and Robin Williams.",3,0.06,0.754,0.187,0.5733
163,★★★★,P.S.- Al Pacino should have had dark circles around his eyes by the end of the movie. Just saying.,4,0.0,1.0,0.0,0.0
164,★★★½,it is absolutely bonkers to watch someone as beloved as robin williams play a role that was clearly written for kevin spacey,3,0.0,0.682,0.318,0.8126
165,★★★★,Good movie severely underrated tbh. Love Pacino and Williams dynamic is good and the premise has a unique spin it was good but not perfect. Pacing was the main issue,4,0.157,0.575,0.268,0.3078
166,★★½,"Insomnia has some great scenery and performances but man I couldn't get into this as much as I wanted to. The script just felt painfully generic and Nolan's direction was just kinda there I guess? I haven't seen the original film this is based on but this definitely screamed ""weaker american adaptation"" to me.",2,0.214,0.681,0.104,-0.7967
167,★★★½,"A better-than-average psychological thriller, and perhaps Nolan's most straightforward film in terms of narrative structure and chronology. Alaska-as-Purgatory works really well, with the eerie fog, dark waters, and unyielding midnight sun. A tale of a guilty L.A. cop having his hidden sins exposed has a particular resonance in our present times. The light shines in the darkness, and the darkness has not overcome it.",3,0.196,0.749,0.055,-0.8319
168,★★★,robin williams and al pacino were robins williams and al pacino. this was underwhelming,3,0.0,1.0,0.0,0.0
169,★★★½,"The last movie I needed to watch to complete my Nolan rank. Oh my god I was not expecting Robin Williams to be that convincing as a bad dude. His lack of screen time, mannerisms, and the way he talked, I was just like damn! I am scared of this guy. The least 'Nolan' of his movies I think. But that can sometimes be a compliment. He is so hit and miss for me, moreso than probably any other director. But this a good one tho.",3,0.139,0.713,0.148,0.2031
170,★★★★,"It shows that the border between good and bad is more complicated that it sounds . It's psychological , intense and dark . Al Pacino and Robin Williams had fantastic performances .",4,0.099,0.68,0.221,0.5106
171,★★★,I wish Robin Williams had played more psychos.,3,0.0,0.495,0.505,0.6249
172,★★★½,"is a very polished and intriguing thriller filled with twists, with great seasoned actors as protagonists, featuring beautiful tense cinematography and successfully utilizing the setting of Alaska effectively.",3,0.062,0.54,0.398,0.9201
173,★★★½,Great acting - decent plot - odd editing choices at times.,3,0.172,0.522,0.306,0.4215
174,★★★★,"solid script, but a masterclass in editing.",4,0.0,0.794,0.206,0.0772
175,★★★,", but still manages to be a mostly engaging crime thriller that features solid performances from Pacino and Williams.",3,0.195,0.534,0.271,-0.0387
176,★★★½,"I forgot this was directed by Christopher Nolan, it just felt like a mix of The Snowman and Hangman.",3,0.0,0.865,0.135,0.3612
177,★★★★½,A showcase of the insane talent of Robin Williams and Al Pacino in a near-perfect thriller with a somewhat predictable and conventional final act.,4,0.108,0.723,0.169,0.128
178,★★★★,Probably Nolan's least ambitious out of his filmography. But still Insomnia is an effective enough psychological thriller that's well-shot and features stellar performances from Al Pacino and Robin Williams.,4,0.077,0.787,0.136,0.2373
